S. No.,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Severity,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Hotspot
6512,5556357,HN365132,8/28/07 8:45 PM,005XX N LONG AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,1523,15,37,25,18,1140228,1903161,2007,04/15/2016 08:55:02 AM,41.89036883,-87.76047304,"(41.890368826, -87.760473044)",Yes
6513,5556359,HN350087,8/18/07 12:10 PM,047XX S COTTAGE GROVE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,SIDEWALK,TRUE,FALSE,223,2,4,38,18,1182386,1873939,2007,04/15/2016 08:55:02 AM,41.80930523,-87.60655839,"(41.809305232, -87.606558389)",Yes
6514,5556360,HN363946,8/24/07 3:30 PM,038XX W 111TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,SIDEWALK,TRUE,TRUE,2211,22,19,74,08B,1152573,1830709,2007,04/15/2016 08:55:02 AM,41.69131462,-87.71704338,"(41.691314623, -87.717043381)",No
6515,5556363,HN356684,8/21/07 7:30 PM,011XX N WESTERN AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,High,"SCHOOL, PUBLIC, GROUNDS",TRUE,FALSE,1312,12,1,24,14,1160197,1907701,2007,04/15/2016 08:55:02 AM,41.90243771,-87.68701156,"(41.902437713, -87.687011559)",Yes
6516,5556364,HN362678,8/24/07 4:43 PM,077XX N HERMITAGE AVE,460,BATTERY,SIMPLE,Low,SIDEWALK,FALSE,FALSE,2422,24,49,1,08B,1163337,1951294,2007,04/15/2016 08:55:02 AM,42.02199337,-87.6742462,"(42.021993365, -87.674246195)",No
6517,5556365,HN363204,8/24/07 9:11 PM,002XX N ASHLAND AVE,560,ASSAULT,SIMPLE,Low,BAR OR TAVERN,FALSE,FALSE,1333,12,27,28,08A,1165689,1901848,2007,04/15/2016 08:55:02 AM,41.88626134,-87.66700557,"(41.886261339, -87.667005567)",No
6518,5556367,HN365275,8/28/07 9:05 PM,013XX N PULASKI RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,FALSE,TRUE,2535,25,27,23,08B,1149474,1908574,2007,04/15/2016 08:55:02 AM,41.90504825,-87.72637642,"(41.905048248, -87.726376417)",No
6519,5556369,HN364862,8/28/07 6:09 PM,054XX W THOMAS ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,High,ALLEY,TRUE,FALSE,1524,15,37,25,26,1139890,1906799,2007,04/15/2016 08:55:02 AM,41.90035813,-87.76162533,"(41.900358126, -87.76162533)",Yes
6520,5556371,HN363481,8/28/07 12:10 AM,075XX S COTTAGE GROVE AVE,320,THEFT,STRONGARM - NO WEAPON,Medium,SIDEWALK,FALSE,FALSE,624,6,6,69,3,1182871,1855095,2007,04/15/2016 08:55:02 AM,41.75758433,-87.60536467,"(41.757584331, -87.605364672)",No
6521,5556372,HN364683,8/28/07 4:45 PM,003XX W 71ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,High,SIDEWALK,FALSE,FALSE,731,7,6,69,14,1175343,1857876,2007,04/15/2016 08:55:02 AM,41.76538721,-87.63287063,"(41.765387214, -87.632870634)",Yes
6522,5556374,HN363603,8/28/07 3:00 AM,080XX S EMERALD AVE,320,THEFT,STRONGARM - NO WEAPON,Medium,SIDEWALK,FALSE,FALSE,621,6,21,71,3,1172696,1851658,2007,04/15/2016 08:55:02 AM,41.74838299,-87.64275563,"(41.748382987, -87.642755633)",No
6523,5556378,HN365634,8/28/07 1:20 AM,055XX S SHORE DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,ALLEY,FALSE,FALSE,2132,2,5,41,08B,1189555,1868619,2007,04/15/2016 08:55:02 AM,41.79453743,-87.58043513,"(41.79453743, -87.580435129)",No
6524,5556381,HN364403,8/28/07 2:41 PM,008XX N LOCKWOOD AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,High,SIDEWALK,TRUE,FALSE,1524,15,37,25,26,1140872,1904987,2007,04/15/2016 08:55:02 AM,41.89536777,-87.75806298,"(41.895367769, -87.75806298)",Yes
6525,5556388,HN363934,8/28/07 6:00 AM,079XX S ASHLAND AVE,031A,THEFT,ARMED: HANDGUN,High,GAS STATION,FALSE,FALSE,611,6,21,71,3,1167051,1852166,2007,04/15/2016 08:55:02 AM,41.74989948,-87.66342638,"(41.749899475, -87.663426378)",Yes
6526,5556389,HN365166,8/28/07 3:30 PM,024XX N MARMORA AVE,2826,BATTERY,HARASSMENT BY ELECTRONIC MEANS,Low,RESIDENCE,FALSE,FALSE,2515,25,30,19,26,1136651,1915613,2007,04/15/2016 08:55:02 AM,41.92460341,-87.77331112,"(41.924603406, -87.773311117)",No
6527,5556391,HN364806,8/28/07 5:31 PM,056XX S PEORIA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,712,7,16,68,08B,1171267,1867513,2007,04/15/2016 08:55:02 AM,41.79192239,-87.64752871,"(41.791922389, -87.647528708)",No
6528,5556392,HN363087,8/24/07 8:25 PM,066XX N FRANCISCO AVE,460,BATTERY,SIMPLE,Low,SIDEWALK,FALSE,FALSE,2412,24,50,2,08B,1155796,1943940,2007,04/15/2016 08:55:02 AM,42.00196972,-87.70219692,"(42.001969722, -87.702196919)",No
6529,5556393,HN363896,8/24/07 9:00 PM,110XX S BELL AVE,610,BURGLARY,FORCIBLE ENTRY,Low,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,2212,22,19,75,5,1163486,1831605,2007,04/15/2016 08:55:02 AM,41.6935522,-87.67706449,"(41.693552202, -87.677064488)",No
6530,5556398,HN365385,8/28/07 10:30 PM,099XX S VINCENNES AVE,2027,NARCOTICS,POSS: CRACK,High,GAS STATION,TRUE,FALSE,2213,22,21,73,18,1169841,1838870,2007,04/15/2016 08:55:02 AM,41.71335328,-87.65358739,"(41.713353279, -87.653587393)",Yes
6531,5556399,HN362947,8/24/07 7:32 PM,058XX W WASHINGTON BLVD,2027,NARCOTICS,POSS: CRACK,High,ALLEY,TRUE,FALSE,1513,15,29,25,18,1137467,1900154,2007,04/15/2016 08:55:02 AM,41.88216736,-87.7706853,"(41.882167361, -87.770685298)",Yes
6532,5556400,HN364760,8/23/07 1:00 PM,090XX S BUFFALO AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,SIDEWALK,TRUE,FALSE,424,4,10,46,04B,1199612,1845748,2007,04/15/2016 08:55:02 AM,41.73153039,-87.54432648,"(41.731530391, -87.544326476)",Yes
6533,5556403,HN365533,8/28/07 12:00 AM,014XX W TAYLOR ST,460,BATTERY,SIMPLE,Low,SIDEWALK,FALSE,FALSE,1213,12,25,28,08B,1166713,1895679,2007,04/15/2016 08:55:02 AM,41.86931124,-87.66342204,"(41.869311235, -87.663422037)",No
6534,5556404,HN347071,8/18/07 10:14 PM,0000X E 107TH ST,2027,NARCOTICS,POSS: CRACK,High,SIDEWALK,FALSE,FALSE,512,5,9,49,18,1178378,1834031,2007,04/15/2016 08:55:02 AM,41.6998852,-87.62246832,"(41.6998852, -87.622468322)",Yes
6535,5556405,HN362832,8/24/07 1:00 PM,100XX W OHARE ST,820,THEFT,$500 AND UNDER,Low,AIRPORT/AIRCRAFT,TRUE,FALSE,1651,16,41,76,6,1100658,1934241,2007,04/15/2016 08:55:02 AM,41.97629041,-87.90522722,"(41.976290414, -87.905227221)",No
6536,5556409,HN364848,8/28/07 5:38 PM,059XX S CARPENTER ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,SIDEWALK,FALSE,TRUE,712,7,16,68,08B,1170330,1865368,2007,04/15/2016 08:55:02 AM,41.78605672,-87.65102694,"(41.786056723, -87.651026938)",No
6537,5556411,HN362990,8/24/07 7:28 PM,054XX W MADISON ST,2027,NARCOTICS,POSS: CRACK,High,ALLEY,TRUE,FALSE,1522,15,29,25,18,1139917,1899485,2007,04/15/2016 08:55:02 AM,41.88028711,-87.76170513,"(41.880287109, -87.761705126)",Yes
6538,5556413,HN364488,8/28/07 3:10 PM,077XX S ABERDEEN ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,SIDEWALK,FALSE,FALSE,612,6,17,71,04B,1170323,1853564,2007,04/15/2016 08:55:02 AM,41.75366524,-87.65139576,"(41.753665238, -87.651395756)",Yes
6539,5556415,HN365504,8/28/07 11:20 PM,079XX S TRIPP AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,High,STREET,FALSE,FALSE,834,8,13,70,04A,1149515,1851393,2007,04/15/2016 08:55:02 AM,41.74813493,-87.72770648,"(41.748134926, -87.727706481)",Yes
6540,5556418,HN353614,8/20/07 4:28 AM,116XX S ASHLAND AVE,454,BATTERY,AGG PO HANDS NO/MIN INJURY,Low,STREET,TRUE,FALSE,524,5,34,53,08B,1167766,1827601,2007,04/15/2016 08:55:02 AM,41.682474,-87.66150871,"(41.682473997, -87.66150871)",No
6541,5556420,HN363817,8/24/07 2:30 PM,013XX W 95TH ST,610,BURGLARY,FORCIBLE ENTRY,Low,"SCHOOL, PRIVATE, BUILDING",TRUE,FALSE,2213,22,21,73,5,1169194,1841762,2007,04/15/2016 08:55:02 AM,41.72130336,-87.6558736,"(41.721303358, -87.655873595)",No
6542,5556423,HN364656,8/28/07 1:00 PM,010XX E 81ST ST,610,BURGLARY,FORCIBLE ENTRY,Low,APARTMENT,FALSE,FALSE,631,6,8,44,5,1184432,1851501,2007,04/15/2016 08:55:02 AM,41.74768564,-87.59975618,"(41.74768564, -87.599756183)",No
6543,5556431,HN363050,8/24/07 8:24 PM,003XX N LARAMIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,ALLEY,TRUE,FALSE,1523,15,28,25,18,1141651,1901699,2007,04/15/2016 08:55:02 AM,41.88633073,-87.75528322,"(41.886330731, -87.755283218)",Yes
6544,5556433,HN364852,8/28/07 5:48 PM,070XX S PARNELL AVE,620,BURGLARY,UNLAWFUL ENTRY,Low,RESIDENCE,FALSE,FALSE,732,7,6,68,5,1173834,1858326,2007,04/15/2016 08:55:02 AM,41.76665566,-87.63838824,"(41.766655655, -87.638388243)",No
6545,5556434,HN363533,8/28/07 12:55 AM,052XX W 64TH PL,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,STREET,FALSE,FALSE,813,8,13,64,04B,1142538,1861185,2007,04/15/2016 08:55:02 AM,41.77513787,-87.75303091,"(41.775137868, -87.753030909)",Yes
6546,5556436,HN363960,8/28/07 10:18 AM,022XX S STATE ST,560,ASSAULT,SIMPLE,Low,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,FALSE,134,1,3,33,08A,1176666,1889469,2007,04/15/2016 08:55:02 AM,41.85205163,-87.62706984,"(41.852051628, -87.627069839)",No
6547,5556438,HN364918,8/28/07 5:30 PM,011XX E 91ST ST,460,BATTERY,SIMPLE,Low,STREET,FALSE,FALSE,413,4,8,47,08B,1185615,1844878,2007,04/15/2016 08:55:02 AM,41.72948367,-87.59562939,"(41.72948367, -87.595629394)",No
6548,5556442,HN363617,8/28/07 3:22 AM,103XX S HALSTED ST,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,Low,RESTAURANT,FALSE,FALSE,2232,22,34,73,5,1172807,1836199,2007,04/15/2016 08:55:02 AM,41.70595889,-87.64280332,"(41.705958892, -87.642803315)",No
6549,5556445,HN364801,8/28/07 5:26 PM,075XX N WESTERN AVE,560,ASSAULT,SIMPLE,Low,SIDEWALK,FALSE,FALSE,2411,24,50,2,08A,1159016,1950129,2007,04/15/2016 08:55:02 AM,42.01888678,-87.69017984,"(42.018886781, -87.690179844)",No
6550,5556446,HN364247,8/28/07 11:00 AM,027XX S DR MARTIN LUTHER KING JR DR,460,BATTERY,SIMPLE,Low,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2112,1,4,35,08B,1179263,1886551,2007,04/15/2016 08:55:02 AM,41.84398543,-87.61762751,"(41.843985432, -87.617627512)",No
6551,5556449,HN360057,8/23/07 12:35 PM,052XX W ADAMS ST,2017,NARCOTICS,MANU/DELIVER:CRACK,High,SIDEWALK,TRUE,FALSE,1522,15,29,25,18,1141475,1898830,2007,04/15/2016 08:55:02 AM,41.87846109,-87.75600042,"(41.878461088, -87.756000418)",Yes
6552,5556452,HN365931,8/28/07 9:00 PM,048XX W FLETCHER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,2521,25,31,19,14,1143542,1920506,2007,04/15/2016 08:55:02 AM,41.93790399,-87.7478675,"(41.937903988, -87.747867496)",Yes
6553,5556453,HN364903,8/28/07 6:09 PM,004XX W 70TH ST,620,BURGLARY,UNLAWFUL ENTRY,Low,APARTMENT,FALSE,FALSE,732,7,6,68,5,1174724,1858517,2007,04/15/2016 08:55:02 AM,41.76716,-87.63512038,"(41.767160003, -87.635120381)",No
6554,5556456,HN364189,8/28/07 12:25 PM,002XX S MICHIGAN AVE,560,ASSAULT,SIMPLE,Low,RESTAURANT,TRUE,FALSE,123,1,42,32,08A,1177328,1899324,2007,04/15/2016 08:55:02 AM,41.8790794,-87.62434142,"(41.879079395, -87.624341423)",No
6555,5556458,HN363711,8/28/07 6:40 AM,062XX S WESTERN AVE,031A,THEFT,ARMED: HANDGUN,High,SIDEWALK,FALSE,FALSE,825,8,15,66,3,1161446,1863118,2007,04/15/2016 08:55:02 AM,41.78007126,-87.68366249,"(41.780071261, -87.683662489)",Yes
6556,5556460,HN348848,8/17/07 8:16 PM,103XX S COTTAGE GROVE AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,High,RESIDENCE,FALSE,TRUE,512,5,9,50,04A,1182642,1836377,2007,04/15/2016 08:55:02 AM,41.70622529,-87.60678298,"(41.706225289, -87.606782977)",Yes
6557,5556463,HN362399,8/24/07 2:05 PM,062XX N CLARK ST,460,BATTERY,SIMPLE,Low,STREET,FALSE,FALSE,2433,24,40,77,08B,1164510,1941776,2007,04/15/2016 08:55:02 AM,41.99585092,-87.67020085,"(41.995850916, -87.670200845)",No
6558,5556464,HN364957,8/28/07 6:48 PM,005XX W 62ND ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,711,7,20,68,08B,1173607,1863809,2007,04/15/2016 08:55:02 AM,41.78170667,-87.63905804,"(41.781706667, -87.639058038)",No
6559,5556466,HN360955,8/23/07 7:07 PM,009XX N LAWLER AVE,2027,NARCOTICS,POSS: CRACK,High,STREET,TRUE,FALSE,1531,15,37,25,18,1142518,1905872,2007,04/15/2016 08:55:02 AM,41.89776587,-87.75199552,"(41.897765868, -87.75199552)",Yes
6560,5556469,HN364925,8/28/07 6:30 PM,096XX S EXCHANGE AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,STREET,FALSE,FALSE,431,4,10,51,04B,1197437,1841696,2007,04/15/2016 08:55:02 AM,41.7204658,-87.55242882,"(41.720465798, -87.552428816)",Yes
6561,5556471,HN364770,8/28/07 4:44 PM,083XX S MARYLAND AVE,610,BURGLARY,FORCIBLE ENTRY,Low,RESIDENCE,FALSE,FALSE,632,6,8,44,5,1183341,1849934,2007,04/15/2016 08:55:02 AM,41.74341108,-87.60380258,"(41.743411078, -87.603802576)",No
6562,5556475,HN359815,8/23/07 10:35 AM,047XX S HALSTED ST,031A,THEFT,ARMED: HANDGUN,High,DRUG STORE,TRUE,FALSE,921,9,3,61,3,1171764,1873607,2007,04/15/2016 08:55:02 AM,41.80863408,-87.6455275,"(41.808634077, -87.645527495)",Yes
6563,5556476,HN365586,8/28/07 11:45 PM,006XX E 133RD ST,810,THEFT,OVER $500,High,CHA PARKING LOT/GROUNDS,TRUE,FALSE,533,5,9,54,6,1183136,1817243,2007,04/15/2016 08:55:02 AM,41.65370747,-87.60556584,"(41.653707468, -87.605565839)",Yes
6564,5556477,HN364987,8/28/07 7:06 PM,064XX S PAULINA ST,610,BURGLARY,FORCIBLE ENTRY,Low,RESIDENCE,FALSE,FALSE,725,7,15,67,5,1166101,1862068,2007,04/15/2016 08:55:02 AM,41.77709215,-87.66662636,"(41.77709215, -87.666626357)",No
6565,5556479,HN338133,4/28/07 5:30 PM,026XX W CERMAK RD,820,THEFT,$500 AND UNDER,Low,STREET,FALSE,FALSE,1034,10,28,30,6,1159029,1889294,2007,04/15/2016 08:55:02 AM,41.85195123,-87.69180719,"(41.851951229, -87.691807185)",No
6566,5556484,HN360557,8/23/07 4:07 PM,007XX N LOREL AVE,2027,NARCOTICS,POSS: CRACK,High,SIDEWALK,TRUE,FALSE,1524,15,37,25,18,1140540,1904438,2007,04/15/2016 08:55:02 AM,41.89386735,-87.75929584,"(41.893867348, -87.759295842)",Yes
6567,5556487,HN365127,8/28/07 7:53 PM,056XX S LOWE AVE,460,BATTERY,SIMPLE,Low,SIDEWALK,FALSE,FALSE,711,7,3,68,08B,1172928,1867409,2007,04/15/2016 08:55:02 AM,41.79160048,-87.6414412,"(41.79160048, -87.641441198)",No
6568,5556495,HN365569,8/28/07 12:41 AM,053XX S PRAIRIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,STREET,FALSE,TRUE,232,2,3,40,08B,1178946,1869718,2007,04/15/2016 08:55:02 AM,41.79780157,-87.61930418,"(41.797801568, -87.619304179)",No
6569,5556499,HN365408,8/28/07 10:48 PM,029XX W DEVON AVE,460,BATTERY,SIMPLE,Low,TAVERN/LIQUOR STORE,FALSE,FALSE,2413,24,50,2,08B,1155758,1942315,2007,04/15/2016 08:55:02 AM,41.99751142,-87.70238077,"(41.997511423, -87.702380769)",No
6570,5556500,HN365214,9/29/07 8:58 PM,009XX W GARFIELD BLVD,2820,BATTERY,TELEPHONE THREAT,Low,RESIDENCE,FALSE,FALSE,712,7,16,68,26,1171088,1868230,2007,04/15/2016 08:55:02 AM,41.79389383,-87.64816411,"(41.793893833, -87.648164114)",No
6571,5556507,HN357962,9/22/07 11:49 AM,050XX S ELIZABETH ST,496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,High,APARTMENT,TRUE,TRUE,933,9,16,61,04B,1168843,1871403,2007,04/15/2016 08:55:02 AM,41.80264971,-87.65630474,"(41.802649709, -87.656304744)",Yes
6572,5556509,HN365392,9/29/07 10:30 PM,099XX S GREEN ST,560,ASSAULT,SIMPLE,Low,RESIDENCE,FALSE,TRUE,2232,22,34,73,08A,1172400,1838874,2007,04/15/2016 08:55:02 AM,41.71330844,-87.64421533,"(41.713308436, -87.644215326)",No
6573,5556510,HN365800,9/26/07 4:20 AM,050XX W BARRY AVE,650,BURGLARY,HOME INVASION,High,RESIDENCE,FALSE,FALSE,2521,25,30,19,5,1142207,1920141,2007,04/15/2016 08:55:02 AM,41.93692731,-87.75278303,"(41.936927306, -87.752783029)",Yes
6574,5556511,HN365526,9/26/07 12:00 AM,008XX E DREXEL SQUARE DR,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,High,APARTMENT,FALSE,TRUE,2124,2,4,41,04A,1182625,1871058,2007,04/15/2016 08:55:02 AM,41.80139399,-87.60577124,"(41.801393988, -87.605771241)",Yes
6575,5556513,HN365269,9/29/07 8:43 PM,071XX S EMERALD AVE,610,BURGLARY,FORCIBLE ENTRY,Low,APARTMENT,FALSE,FALSE,732,7,6,68,5,1172577,1857615,2007,04/15/2016 08:55:02 AM,41.76473236,-87.64301653,"(41.764732362, -87.643016534)",No
6576,5556515,HN355886,9/21/07 12:01 AM,030XX S KEDVALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,RESIDENCE-GARAGE,FALSE,FALSE,1031,10,22,30,14,1149199,1884072,2007,04/15/2016 08:55:02 AM,41.83781724,-87.72802128,"(41.837817244, -87.728021277)",Yes
6577,5556518,HN364613,9/29/07 3:35 PM,054XX S CLAREMONT AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,High,SIDEWALK,FALSE,TRUE,915,9,16,63,04B,1161777,1868320,2007,04/15/2016 08:55:02 AM,41.79433937,-87.68230458,"(41.794339372, -87.682304579)",Yes
6578,5556521,HN364481,9/29/07 3:17 PM,005XX N PARKSIDE AVE,460,BATTERY,SIMPLE,Low,STREET,TRUE,FALSE,1512,15,29,25,08B,1138589,1903078,2007,04/15/2016 08:55:02 AM,41.89017093,-87.76649433,"(41.890170933, -87.766494326)",No
6579,5556525,HN365455,9/29/07 11:21 PM,072XX S RACINE AVE,460,BATTERY,SIMPLE,Low,BAR OR TAVERN,FALSE,FALSE,733,7,17,68,08B,1169579,1856593,2007,04/15/2016 08:55:02 AM,41.76199336,-87.6540346,"(41.761993362, -87.654034601)",No
6580,5556526,HN358736,9/22/07 6:09 PM,063XX S CENTRAL PARK AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,823,8,13,65,18,1153414,1862177,2007,04/15/2016 08:55:02 AM,41.77765176,-87.71313417,"(41.777651761, -87.713134167)",Yes
6581,5556527,HN365575,9/29/07 11:10 PM,099XX S WASHTENAW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,RESIDENCE,FALSE,FALSE,2211,22,19,72,14,1160109,1838669,2007,04/15/2016 08:55:02 AM,41.71300701,-87.68923511,"(41.713007008, -87.689235111)",Yes
6582,5556528,HN364165,9/29/07 12:25 PM,001XX S RACINE AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,Medium,OTHER,TRUE,FALSE,1213,12,27,28,26,1168407,1899592,2007,04/15/2016 08:55:02 AM,41.88001236,-87.65708977,"(41.880012363, -87.657089765)",Yes
6583,5556529,HN359381,9/23/07 2:40 AM,013XX S KOLIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,RESIDENCE,FALSE,FALSE,1011,10,24,29,14,1147599,1893382,2007,04/15/2016 08:55:02 AM,41.86339588,-87.7336539,"(41.86339588, -87.733653901)",Yes
6584,5556531,HN365422,9/29/07 8:20 PM,063XX S WESTERN AVE,460,BATTERY,SIMPLE,Low,SIDEWALK,FALSE,FALSE,825,8,15,66,08B,1161459,1862643,2007,04/15/2016 08:55:02 AM,41.77876753,-87.68362799,"(41.778767526, -87.683627986)",No
6585,5556532,HN303568,4/24/07 10:15 PM,0000X E 75TH ST,880,THEFT,PURSE-SNATCHING,Medium,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,623,6,6,69,6,1177752,1855282,2007,04/15/2016 08:55:02 AM,41.75821482,-87.62411934,"(41.758214815, -87.624119338)",No
6586,5556533,HN365869,9/29/07 9:30 PM,099XX S WENTWORTH AVE,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,511,5,9,49,6,1176699,1838936,2007,04/15/2016 08:55:02 AM,41.71338308,-87.62846909,"(41.713383076, -87.628469089)",Yes
6587,5556538,HN365573,9/26/07 12:31 AM,072XX S PEORIA ST,4387,BATTERY,VIOLATE ORDER OF PROTECTION,Low,RESIDENCE,TRUE,FALSE,733,7,17,68,26,1171559,1856834,2007,04/15/2016 08:55:02 AM,41.76261156,-87.64677062,"(41.76261156, -87.646770624)",No
6588,5556542,HN365558,9/26/07 12:40 AM,038XX S DR MARTIN LUTHER KING JR DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,STREET,FALSE,TRUE,211,2,3,35,08B,1179485,1879705,2007,04/15/2016 08:55:02 AM,41.82519443,-87.61702233,"(41.825194431, -87.617022328)",No
6589,5556543,HN353862,9/20/07 10:45 AM,079XX S SANGAMON ST,051A,ASSAULT,AGGRAVATED: HANDGUN,High,RESIDENCE,TRUE,FALSE,621,6,17,71,04A,1171356,1852106,2007,04/15/2016 08:55:02 AM,41.74964177,-87.64765276,"(41.749641765, -87.647652764)",Yes
6590,5556545,HN365143,9/29/07 8:30 PM,105XX S MAY ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,STREET,FALSE,TRUE,2232,22,34,73,08B,1170636,1834819,2007,04/15/2016 08:55:02 AM,41.70221946,-87.65079342,"(41.702219455, -87.650793417)",No
6591,5556546,HN359368,9/23/07 2:25 AM,041XX W CERMAK RD,1310,CRIMINAL DAMAGE,TO PROPERTY,High,RESIDENCE,FALSE,FALSE,1012,10,24,29,14,1149310,1889061,2007,04/15/2016 08:55:02 AM,41.85150556,-87.72748482,"(41.851505557, -87.727484818)",Yes
6592,5556547,HN365325,9/24/07 10:00 PM,085XX S COLFAX AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,423,4,7,46,08B,1194980,1848885,2007,04/15/2016 08:55:02 AM,41.74025385,-87.56119181,"(41.740253852, -87.561191811)",No
6593,5556548,HN364875,9/29/07 5:50 PM,051XX S HALSTED ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,High,APARTMENT,TRUE,FALSE,934,9,3,61,04A,1171846,1870605,2007,04/15/2016 08:55:02 AM,41.80039448,-87.64531488,"(41.800394476, -87.645314877)",Yes
6594,5556554,HN365502,9/29/07 11:40 PM,011XX N PAULINA ST,460,BATTERY,SIMPLE,Low,STREET,FALSE,FALSE,1322,12,1,24,08B,1164848,1907808,2007,04/15/2016 08:55:02 AM,41.9026339,-87.66992468,"(41.902633902, -87.669924678)",No
6595,5556555,HN365596,9/26/07 1:01 AM,065XX S LOWE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,APARTMENT,FALSE,TRUE,723,7,20,68,08B,1173163,1861518,2007,04/15/2016 08:55:02 AM,41.77542973,-87.64075349,"(41.775429728, -87.640753492)",No
6596,5556557,HN365625,9/29/07 8:30 AM,053XX S CENTRAL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,811,8,23,56,08B,1139923,1868837,2007,04/15/2016 08:55:02 AM,41.79618431,-87.76243109,"(41.796184314, -87.762431087)",No
6597,5556559,HN365169,9/29/07 8:17 PM,105XX S MORGAN ST,051A,ASSAULT,AGGRAVATED: HANDGUN,High,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2232,22,34,73,04A,1171520,1834873,2007,04/15/2016 08:55:02 AM,41.70234837,-87.64755488,"(41.702348368, -87.647554884)",Yes
6598,5556562,HN342595,9/14/07 7:55 PM,044XX W 30TH ST,502P,BATTERY,FALSE/STOLEN/ALTERED TRP,Low,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1031,10,22,30,26,1147452,1884347,2007,04/15/2016 08:55:02 AM,41.83860549,-87.73442485,"(41.838605486, -87.734424853)",No
6599,5556565,HN361013,9/23/07 8:04 PM,062XX S WESTERN AVE,2027,NARCOTICS,POSS: CRACK,High,APARTMENT,TRUE,FALSE,825,8,15,66,18,1161444,1863172,2007,04/15/2016 08:55:02 AM,41.78021949,-87.68366833,"(41.780219486, -87.683668326)",Yes
6600,5556567,HN363687,9/29/07 6:12 AM,063XX S LAPORTE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,STREET,TRUE,TRUE,813,8,13,64,08B,1144471,1862206,2007,04/15/2016 08:55:02 AM,41.77790366,-87.74591909,"(41.777903655, -87.745919094)",No
6601,5556569,HN365633,9/26/07 1:31 AM,056XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,SIDEWALK,FALSE,TRUE,715,7,15,67,08B,1166633,1867387,2007,04/15/2016 08:55:02 AM,41.79167681,-87.66452438,"(41.791676813, -87.664524379)",No
