S. No.,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Severity,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Hotspot
5578,5554158,HN351383,7/19/07 12:34 AM,078XX S WESTERN AVE,2027,NARCOTICS,POSS: CRACK,High,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,835,8,18,70,18,1161742,1852509,2007,04/15/2016 08:55:02 AM,41.7509525,-87.68287143,"(41.750952501, -87.682871429)",Yes
5579,10513527,HZ255107,7/6/16 6:00 PM,024XX N LECLAIRE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,High,APARTMENT,FALSE,FALSE,2521,25,31,19,14,1141978,1915941,2016,05/13/2016 03:51:16 PM,41.92540634,-87.753729,"(41.925406336, -87.753728995)",Yes
5580,5554161,HN344655,7/17/07 7:10 PM,008XX E 89TH ST,502P,BATTERY,FALSE/STOLEN/ALTERED TRP,Low,STREET,TRUE,FALSE,633,6,8,44,26,1183319,1846143,2007,04/15/2016 08:55:02 AM,41.73300867,-87.6040009,"(41.733008665, -87.604000901)",No
5581,5554162,HN363648,7/27/07 5:00 AM,039XX W DIVISION ST,820,THEFT,$500 AND UNDER,Low,GAS STATION,FALSE,FALSE,2535,25,27,23,6,1149691,1907712,2007,04/15/2016 08:55:02 AM,41.90267862,-87.72560174,"(41.902678618, -87.725601735)",No
5582,5554163,HN363316,7/24/07 10:40 PM,061XX N KILDARE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,Low,RESIDENCE,FALSE,TRUE,1711,17,39,12,08B,1146590,1940363,2007,04/15/2016 08:55:02 AM,41.99233543,-87.73615674,"(41.992335434, -87.736156741)",No
5583,5554165,HN360542,7/23/07 4:33 PM,007XX N LARAMIE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),High,SIDEWALK,TRUE,FALSE,1524,15,28,25,18,1141556,1904478,2007,04/15/2016 08:55:02 AM,41.8939584,-87.75556337,"(41.8939584, -87.75556337)",Yes
5584,5554166,HN362599,7/13/07 12:05 AM,048XX W ROSCOE ST,2825,BATTERY,HARASSMENT BY TELEPHONE,Low,APARTMENT,FALSE,FALSE,1634,16,38,15,26,1143435,1922165,2007,04/15/2016 08:55:02 AM,41.94245844,-87.74821913,"(41.942458444, -87.74821913)",No
5585,5554169,HN363928,7/24/07 7:00 PM,013XX N CLARK ST,810,THEFT,OVER $500,High,STREET,FALSE,FALSE,1821,18,42,8,6,1175291,1909225,2007,04/15/2016 08:55:02 AM,41.9062942,-87.63152348,"(41.906294202, -87.631523484)",Yes
5586,5554171,HN361632,7/23/07 7:30 PM,023XX W CULLOM AVE,890,THEFT,FROM BUILDING,Medium,CONSTRUCTION SITE,FALSE,FALSE,1912,19,47,5,6,1160131,1928502,2007,04/15/2016 08:55:02 AM,41.9595184,-87.68667772,"(41.959518403, -87.686677722)",No
5587,5554173,HN363901,7/27/07 9:00 AM,100XX W OHARE ST,890,THEFT,FROM BUILDING,Medium,RESTAURANT,FALSE,FALSE,1651,16,41,76,6,1100658,1934241,2007,04/15/2016 08:55:02 AM,41.97629041,-87.90522722,"(41.976290414, -87.905227221)",No
5588,5554175,HN363531,7/27/07 12:45 AM,076XX S KINGSTON AVE,496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,High,APARTMENT,FALSE,TRUE,421,4,7,43,04B,1194519,1854817,2007,04/15/2016 08:55:02 AM,41.75654307,-87.56268617,"(41.756543074, -87.562686166)",Yes
5589,5554178,HN351580,7/19/07 2:20 AM,117XX S LOWE AVE,2027,NARCOTICS,POSS: CRACK,High,STREET,FALSE,FALSE,524,5,34,53,18,1174065,1826893,2007,04/15/2016 08:55:02 AM,41.68039403,-87.63847152,"(41.680394029, -87.638471521)",Yes
5590,5554179,HN363898,7/27/07 8:00 AM,027XX N MERRIMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,High,STREET,FALSE,FALSE,2512,25,29,19,14,1134275,1917461,2007,04/15/2016 08:55:02 AM,41.92971678,-87.78199806,"(41.929716782, -87.781998059)",Yes
5591,5554180,HN363627,7/27/07 4:00 AM,059XX W BELDEN AVE,502P,BATTERY,FALSE/STOLEN/ALTERED TRP,Low,STREET,FALSE,FALSE,2515,25,37,19,26,1136253,1914669,2007,04/15/2016 08:55:02 AM,41.92202009,-87.77479616,"(41.922020085, -87.774796159)",No
5592,5554181,HN360198,7/23/07 1:18 PM,090XX S COTTAGE GROVE AVE,320,THEFT,STRONGARM - NO WEAPON,Medium,ALLEY,FALSE,FALSE,633,6,6,44,3,1183139,1845391,2007,04/15/2016 08:55:02 AM,41.73094928,-87.60468364,"(41.730949275, -87.604683641)",No
5593,5554188,HN354587,7/20/07 6:15 PM,034XX S DR MARTIN LUTHER KING JR DR,860,THEFT,RETAIL THEFT,High,SMALL RETAIL STORE,TRUE,FALSE,2122,2,4,35,6,1179474,1882305,2007,04/15/2016 08:55:02 AM,41.83232928,-87.61698315,"(41.832329279, -87.616983146)",Yes
5594,5554189,HN362320,7/24/07 2:25 PM,002XX N LAVERGNE AVE,2027,NARCOTICS,POSS: CRACK,High,ALLEY,TRUE,FALSE,1532,15,28,25,18,1143003,1901158,2007,04/15/2016 08:55:02 AM,41.88482106,-87.75033179,"(41.884821063, -87.750331786)",Yes
5595,5554191,HN363572,7/27/07 1:05 AM,014XX N LARAMIE AVE,502P,BATTERY,FALSE/STOLEN/ALTERED TRP,Low,STREET,TRUE,FALSE,2532,25,37,25,26,1141438,1909160,2007,04/15/2016 08:55:02 AM,41.90680853,-87.75588101,"(41.906808533, -87.755881007)",No
5596,5554194,HN360762,7/23/07 4:41 PM,075XX S PEORIA ST,610,BURGLARY,FORCIBLE ENTRY,Low,APARTMENT,FALSE,FALSE,621,6,17,71,5,1171610,1854895,2007,04/15/2016 08:55:02 AM,41.75728958,-87.64664043,"(41.757289583, -87.646640432)",No
5597,5554195,HN363535,7/24/07 9:00 PM,085XX S SAGINAW AVE,560,ASSAULT,SIMPLE,Low,RESIDENCE,TRUE,FALSE,423,4,7,46,08A,1195312,1848853,2007,04/15/2016 08:55:02 AM,41.74015786,-87.55997648,"(41.74015786, -87.559976481)",No
5598,5554196,HN362000,7/23/07 11:30 AM,032XX W WILSON AVE,560,ASSAULT,SIMPLE,Low,OTHER,FALSE,FALSE,1724,17,33,14,08A,1153780,1930339,2007,04/15/2016 08:55:02 AM,41.96468839,-87.70997773,"(41.964688389, -87.709977733)",No
5599,5554199,HN362860,7/24/07 12:30 PM,062XX W PATTERSON AVE,620,BURGLARY,UNLAWFUL ENTRY,Low,RESIDENCE,FALSE,FALSE,1633,16,38,17,5,1134114,1923620,2007,04/15/2016 08:55:02 AM,41.9466206,-87.78244426,"(41.9466206, -87.782444259)",No
5600,5554201,HN344840,7/17/07 8:33 PM,015XX W 81ST ST,460,BATTERY,SIMPLE,Low,SIDEWALK,FALSE,FALSE,614,6,21,71,08B,1167297,1851012,2007,04/15/2016 08:55:02 AM,41.74672748,-87.66255789,"(41.746727477, -87.662557893)",No
5601,5554203,HN362100,7/24/07 12:06 PM,038XX N WHIPPLE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,High,APARTMENT,TRUE,FALSE,1733,17,33,16,14,1155371,1925308,2007,04/15/2016 08:55:02 AM,41.9508511,-87.70426381,"(41.950851098, -87.704263813)",Yes
5602,5554206,HN362272,7/24/07 2:15 PM,007XX N LAMON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,1531,15,28,25,18,1143549,1904660,2007,04/15/2016 08:55:02 AM,41.89442077,-87.74823908,"(41.894420768, -87.748239078)",Yes
5603,5554209,HN352474,7/19/07 3:30 PM,001XX W 108TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,Medium,STREET,TRUE,FALSE,513,5,34,49,18,1177422,1833343,2007,04/15/2016 08:55:02 AM,41.69801883,-87.62598947,"(41.69801883, -87.62598947)",Yes
5604,5554213,HN363646,7/27/07 4:45 AM,012XX N PULASKI RD,610,BURGLARY,FORCIBLE ENTRY,Low,RESTAURANT,FALSE,FALSE,2535,25,27,23,5,1149488,1908178,2007,04/15/2016 08:55:02 AM,41.90396131,-87.72633528,"(41.903961313, -87.726335284)",No
5605,5554214,HN363048,7/24/07 8:05 PM,064XX W IRVING PARK RD,860,THEFT,RETAIL THEFT,High,DEPARTMENT STORE,TRUE,FALSE,1632,16,38,17,6,1132626,1925898,2007,04/15/2016 08:55:02 AM,41.95289779,-87.78786051,"(41.952897791, -87.787860507)",Yes
5606,5554217,HN363939,7/24/07 10:00 PM,017XX W BYRON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,High,RESIDENCE-GARAGE,FALSE,FALSE,1923,19,47,6,14,1163867,1925940,2007,04/15/2016 08:55:02 AM,41.95240997,-87.67301515,"(41.95240997, -87.673015148)",Yes
5607,5554220,HN363556,7/27/07 1:30 AM,078XX S STONY ISLAND SD,560,ASSAULT,SIMPLE,Low,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,411,4,5,43,08A,1188222,1853136,2007,04/15/2016 08:55:02 AM,41.75208273,-87.58581661,"(41.752082728, -87.585816613)",No
5608,5554222,HN362449,7/24/07 1:30 AM,018XX W MARQUETTE RD,610,BURGLARY,FORCIBLE ENTRY,Low,RESIDENCE,FALSE,FALSE,726,7,15,67,5,1165073,1860246,2007,04/15/2016 08:55:02 AM,41.77211415,-87.67044648,"(41.77211415, -87.670446479)",No
5609,5554225,HN362156,7/24/07 10:00 AM,038XX W ARGYLE ST,620,BURGLARY,UNLAWFUL ENTRY,Low,RESIDENCE,FALSE,FALSE,1712,17,39,14,5,1149678,1932945,2007,04/15/2016 08:55:02 AM,41.97192033,-87.72499177,"(41.971920331, -87.724991772)",No
5610,5554228,HN362255,7/24/07 1:30 PM,015XX E HYDE PARK BLVD,860,THEFT,RETAIL THEFT,High,GROCERY FOOD STORE,TRUE,FALSE,2132,2,4,41,6,1187345,1871490,2007,04/15/2016 08:55:02 AM,41.80246849,-87.58844779,"(41.802468489, -87.588447787)",Yes
